Depth [mm],Dose [Gy],PDD [%]
34.47619048,0.0223284991,1.500834814
34.57142857,0.02133562926,1.434097968
34.66666667,0.02034275942,1.367361121
34.76190476,0.02005026025,1.347700466
34.85714286,0.01982846899,1.33279252
34.95238095,0.01960667772,1.317884574
35.04761905,0.01938488646,1.302976628
35.14285714,0.01916309519,1.288068683
35.23809524,0.01894130393,1.273160737
35.33333333,0.01871951266,1.258252791
35.42857143,0.0184977214,1.243344845
35.52380952,0.01827593013,1.2284369
35.61904762,0.01805413887,1.213528954
35.71428571,0.0178323476,1.198621008
35.80952381,0.01761055633,1.183713062
35.9047619,0.01738876507,1.168805117
36,0.0171669738,1.153897171
36.0952381,0.01694518254,1.138989225
36.19047619,0.01672339127,1.12408128
36.28571429,0.01650160001,1.109173334
36.38095238,0.01627980874,1.094265388
36.47619048,0.01605801748,1.079357442
36.57142857,0.01583622621,1.064449497
36.66666667,0.01561443495,1.049541551
36.76190476,0.01555363464,1.045454791
36.85714286,0.01550908762,1.042460514
36.95238095,0.01546454061,1.039466237
37.04761905,0.0154199936,1.03647196
37.14285714,0.01537544659,1.033477684
37.23809524,0.01533089958,1.030483407
37.33333333,0.01528635257,1.02748913
37.42857143,0.01524180555,1.024494853
37.52380952,0.01519725854,1.021500577
37.61904762,0.01515271153,1.0185063
37.71428571,0.01510816452,1.015512023
37.80952381,0.01506361751,1.012517746
37.9047619,0.0150190705,1.00952347
38,0.01497452348,1.006529193
38.0952381,0.01492997647,1.003534916
38.19047619,0.01488542946,1.000540639
38.28571429,0.01484088245,0.9975463626
38.38095238,0.01479633544,0.9945520858
38.47619048,0.01475178843,0.9915578091
38.57142857,0.01470724141,0.9885635323
38.66666667,0.0146626944,0.9855692555
38.76190476,0.01465878089,0.9853062045
38.85714286,0.01465896965,0.9853188921
38.95238095,0.01465915841,0.9853315798
39.04761905,0.01465934717,0.9853442674
39.14285714,0.01465953593,0.985356955
39.23809524,0.01465972468,0.9853696426
39.33333333,0.01465991344,0.9853823302
39.42857143,0.0146601022,0.9853950178
39.52380952,0.01466029096,0.9854077054
39.61904762,0.01466047972,0.985420393
39.71428571,0.01466066848,0.9854330807
39.80952381,0.01466085724,0.9854457683
39.9047619,0.01466104599,0.9854584559
40,0.01466123475,0.9854711435
40.0952381,0.01466142351,0.9854838311
40.19047619,0.01466161227,0.9854965187
40.28571429,0.01466180103,0.9855092063
40.38095238,0.01466198979,0.985521894
40.47619048,0.01466217854,0.9855345816
40.57142857,0.0146623673,0.9855472692
40.66666667,0.01466255606,0.9855599568
40.76190476,0.0146543438,0.9850079606
40.85714286,0.01464528339,0.9843989552
40.95238095,0.01463622298,0.9837899497
41.04761905,0.01462716257,0.9831809443
41.14285714,0.01461810216,0.9825719388
41.23809524,0.01460904176,0.9819629334
41.33333333,0.01459998135,0.9813539279
41.42857143,0.01459092094,0.9807449225
41.52380952,0.01458186053,0.9801359171
41.61904762,0.01457280012,0.9795269116
41.71428571,0.01456373971,0.9789179062
41.80952381,0.0145546793,0.9783089007
41.9047619,0.01454561889,0.9776998953
42,0.01453655848,0.9770908899
42.0952381,0.01452749807,0.9764818844
42.19047619,0.01451843766,0.975872879
42.28571429,0.01450937726,0.9752638735
42.38095238,0.01450031685,0.9746548681
