Depth [mm],Signal,Net OD,Dose [cGy],Dose [Gy],PDD [%]
73.279,36030.27,0.003979722262,4.315057927,0.04315057927,1.780396007
73.406,36050.06,0.003741246994,4.056488477,0.04056488477,1.673710066
73.533,36006.6,0.004265124744,4.624508728,0.04624508728,1.90807563
73.66,36006.34,0.004268260752,4.627908979,0.04627908979,1.909478576
73.787,35994.25,0.004414110122,4.786047773,0.04786047773,1.974726756
73.914,36043.34,0.00382221027,4.144273805,0.04144273805,1.709930355
74.041,36082.96,0.00334508198,3.626942174,0.03626942174,1.496478952
74.168,36084.83,0.003322575244,3.602538997,0.03602538997,1.486410183
74.295,36078.71,0.00339623799,3.682408644,0.03682408644,1.519364457
74.422,36102.79,0.003106473673,3.368228475,0.03368228475,1.389733493
74.549,36041.81,0.003840645983,4.164262931,0.04164262931,1.718177883
74.676,36036.67,0.003902586069,4.231422156,0.04231422156,1.745887827
74.803,36019.36,0.004111246958,4.457665034,0.04457665034,1.839235802
74.93,36019.71,0.00410702694,4.453089434,0.04453089434,1.837347906
75.057,36113.96,0.002972126187,3.222560726,0.03222560726,1.329630875
75.184,36063.99,0.003573464926,3.874568912,0.03874568912,1.598649922
75.311,36030.61,0.003975624057,4.310614403,0.04310614403,1.778562606
75.438,36117.67,0.002927513251,3.174188657,0.03174188657,1.309672525
75.565,36126.17,0.002825317601,3.063381891,0.03063381891,1.263953573
75.692,36089.74,0.00326348557,3.538470363,0.03538470363,1.459975419
75.819,36106.2,0.003065455396,3.323753954,0.03323753954,1.371383274
75.946,36134.81,0.002721463367,2.950776789,0.02950776789,1.217492627
76.073,36106.56,0.003061125246,3.319058942,0.03319058942,1.369446109
76.2,36110.6,0.00301253431,3.266373681,0.03266373681,1.347708132
76.327,36146.43,0.002581828189,2.7993758,0.027993758,1.15502447
76.454,36121.31,0.002883746523,3.126734097,0.03126734097,1.290092739
76.581,36218.81,0.001713061773,1.857406195,0.01857406195,0.7663671332
76.708,36147.02,0.002574739476,2.791689785,0.02791689785,1.151853215
76.835,36120.21,0.002896972267,3.141074256,0.03141074256,1.296009499
76.962,36105.9,0.003069063886,3.3276665,0.033276665,1.372997593
