Depth [mm],Dose [Gy],PDD [%]
22.28571429,1.761370781,98.63056301
22.38095238,1.759517644,98.52679389
22.47619048,1.757664508,98.42302477
22.57142857,1.755811371,98.31925566
22.66666667,1.753958235,98.21548654
22.76190476,1.752105098,98.11171742
22.85714286,1.750251962,98.0079483
22.95238095,1.748398825,97.90417919
23.04761905,1.746545689,97.80041007
23.14285714,1.744692552,97.69664095
23.23809524,1.742839416,97.59287183
23.33333333,1.74098628,97.48910271
23.42857143,1.739133143,97.3853336
23.52380952,1.737280007,97.28156448
23.61904762,1.73542687,97.17779536
23.71428571,1.732490509,97.01336948
23.80952381,1.729171674,96.8275264
23.9047619,1.725852839,96.64168331
24,1.722534004,96.45584023
24.0952381,1.719215169,96.26999714
24.19047619,1.715896333,96.08415406
24.28571429,1.712577498,95.89831098
24.38095238,1.709258663,95.71246789
24.47619048,1.705939828,95.52662481
24.57142857,1.702620993,95.34078173
24.66666667,1.699302158,95.15493864
24.76190476,1.695983323,94.96909556
24.85714286,1.692664488,94.78325248
24.95238095,1.689345652,94.59740939
25.04761905,1.686026817,94.41156631
25.14285714,1.682707982,94.22572322
25.23809524,1.679389147,94.03988014
25.33333333,1.676070312,93.85403706
25.42857143,1.672751477,93.66819397
25.52380952,1.669432642,93.48235089
25.61904762,1.666113807,93.29650781
25.71428571,1.661489409,93.03755785
25.80952381,1.656404034,92.7527947
25.9047619,1.651318658,92.46803155
26,1.646233282,92.1832684
26.0952381,1.641147906,91.89850525
26.19047619,1.63606253,91.6137421
26.28571429,1.630977154,91.32897895
26.38095238,1.625891778,91.0442158
26.47619048,1.620806402,90.75945265
26.57142857,1.615721026,90.4746895
26.66666667,1.61063565,90.18992635
26.76190476,1.605550274,89.90516321
26.85714286,1.600464898,89.62040006
26.95238095,1.595379522,89.33563691
27.04761905,1.590294146,89.05087376
27.14285714,1.585208771,88.76611061
27.23809524,1.580123395,88.48134746
27.33333333,1.575038019,88.19658431
27.42857143,1.569952643,87.91182116
27.52380952,1.564867267,87.62705801
27.61904762,1.559781891,87.34229486
27.71428571,1.553461476,86.98837388
27.80952381,1.546704984,86.61003408
27.9047619,1.539948491,86.23169428
28,1.533191998,85.85335447
28.0952381,1.526435505,85.47501467
28.19047619,1.519679013,85.09667486
28.28571429,1.51292252,84.71833506
28.38095238,1.506166027,84.33999525
28.47619048,1.499409535,83.96165545
28.57142857,1.492653042,83.58331564
28.66666667,1.485896549,83.20497584
28.76190476,1.479140057,82.82663604
28.85714286,1.472383564,82.44829623
28.95238095,1.465627071,82.06995643
29.04761905,1.458870579,81.69161662
29.14285714,1.452114086,81.31327682
29.23809524,1.445357593,80.93493701
29.33333333,1.438601101,80.55659721
29.42857143,1.431844608,80.1782574
29.52380952,1.425088115,79.7999176
29.61904762,1.418331623,79.4215778
29.71428571,1.410292134,78.97139473
29.80952381,1.401799634,78.49584464
29.9047619,1.393307134,78.02029455
30,1.384814635,77.54474446
30.0952381,1.376322135,77.06919437
30.19047619,1.367829635,76.59364428
30.28571429,1.359337135,76.1180942
30.38095238,1.350844636,75.64254411
30.47619048,1.342352136,75.16699402
30.57142857,1.333859636,74.69144393
30.66666667,1.325367136,74.21589384
30.76190476,1.316874637,73.74034375
30.85714286,1.308382137,73.26479366
30.95238095,1.299889637,72.78924357
31.04761905,1.291397137,72.31369348
31.14285714,1.282904638,71.83814339
31.23809524,1.274412138,71.36259331
31.33333333,1.265919638,70.88704322
31.42857143,1.257427138,70.41149313
31.52380952,1.248934639,69.93594304
31.61904762,1.240442139,69.46039295
31.71428571,1.231309392,68.94899127
31.80952381,1.221950581,68.42493082
31.9047619,1.212591771,67.90087036
32,1.20323296,67.37680991
32.0952381,1.193874149,66.85274945
32.19047619,1.184515338,66.328689
32.28571429,1.175156528,65.80462854
32.38095238,1.165797717,65.28056809
32.47619048,1.156438906,64.75650763
32.57142857,1.147080095,64.23244718
32.66666667,1.137721285,63.70838672
32.76190476,1.128362474,63.18432627
32.85714286,1.119003663,62.66026581
32.95238095,1.109644852,62.13620536
33.04761905,1.100286042,61.6121449
33.14285714,1.090927231,61.08808445
